match_id,tournament_year,game_type,stage_raw,stage,is_knockout,match_date,country_a,country_b,country_a_code,country_b_code,goals_a_90,goals_b_90,outcome_90,goals_a_after_extra_time,goals_b_after_extra_time,penalties_a,penalties_b,extra_time,score_details,venue,rank_a,rank_b,ranking_points_a,ranking_points_b,rank_diff,ranking_points_diff,confederation_a,confederation_b,same_confederation
923,2022,championship,Group D,group,false,2022-11-30,Australia,Denmark,AUS,DEN,1,0,A_WIN,,,,,false,(0-0),"Al Janoub Stadium, Al Wakrah",42,11,1462.29,1653.6,-31,-191.31,AFC,UEFA,false
924,2022,championship,Group D,group,false,2022-11-30,Tunisia,France,TUN,FRA,1,0,A_WIN,,,,,false,(0-0),"Education City Stadium, Al Rayyan",35,3,1499.8,1789.85,-32,-290.05,CAF,UEFA,false
925,2022,championship,Group E,group,false,2022-11-23,Germany,Japan,GER,JPN,1,2,B_WIN,,,,,false,(1-0),"Khalifa International Stadium, Al Rayyan",12,23,1650.53,1553.44,11,97.09,UEFA,AFC,false
926,2022,championship,Group E,group,false,2022-11-23,Spain,Costa Rica,ESP,CRC,7,0,A_WIN,,,,,false,(3-0),"Al Thumama Stadium, Doha",7,31,1709.19,1503.09,24,206.1,UEFA,CONCACAF,false
927,2022,championship,Group E,group,false,2022-11-27,Japan,Costa Rica,JPN,CRC,0,1,B_WIN,,,,,false,(0-0),"Ahmad bin Ali Stadium, Al Rayyan",23,31,1553.44,1503.09,8,50.35,AFC,CONCACAF,false
928,2022,championship,Group E,group,false,2022-11-27,Spain,Germany,ESP,GER,1,1,DRAW,,,,,false,(0-0),"Al Bayt Stadium, Al Khor",7,12,1709.19,1650.53,5,58.66,UEFA,UEFA,true
929,2022,championship,Group E,group,false,2022-12-01,Japan,Spain,JPN,ESP,2,1,A_WIN,,,,,false,(0-0),"Khalifa International Stadium, Al Rayyan",23,7,1553.44,1709.19,-16,-155.75,AFC,UEFA,false
930,2022,championship,Group E,group,false,2022-12-01,Costa Rica,Germany,CRC,GER,2,4,B_WIN,,,,,false,(0-1),"Al Bayt Stadium, Al Khor",31,12,1503.09,1650.53,-19,-147.44,CONCACAF,UEFA,false
931,2022,championship,Group F,group,false,2022-11-23,Morocco,Croatia,MAR,CRO,0,0,DRAW,,,,,false,,"Al Bayt Stadium, Al Khor",24,16,1551.88,1621.11,-8,-69.23,CAF,UEFA,false
932,2022,championship,Group F,group,false,2022-11-23,Belgium,Canada,BEL,CAN,1,0,A_WIN,,,,,false,(1-0),"Ahmad bin Ali Stadium, Al Rayyan",2,38,1827,1479,36,348,UEFA,CONCACAF,false
